experiment	roc_auc	accuracy	recall	precision	train_time_s	status	description
bb13e84	0.793200	0.708800	0.898200	0.370800	836.26	baseline	logistic regression baseline
fc3e951	0.886735	0.809934	0.826603	0.482161	2465.44	keep	AlexNet pretrained full fine-tune lr=1e-4, 2nd run through iteration
99ff7d6	0.884073	0.821102	0.764549	0.500389	1175.70	keep	EfficientNet-B0 pretrained full fine-tune lr=1e-4  3rd iteration
817e6fa	0.897496	0.817379	0.831354	0.494176	2690.67	keep	EfficientNet-B0 + 224x224 upscale + pos_weight=10 4th iteration
82ff045	0.892424	0.821155	0.790974	0.500470	3530.55	keep	EfficientNet-B2 + 224 upscale + two-phase + pos_weight=10 5th iteration
fc6c6f0	0.895368	0.790683	0.883610	0.456442	1323.53	keep	EfficientNet-B2 + 224 + two-phase + threshold calibration for recall>=0.97 6th iteration
55ed2e7	0.900480	0.752499	0.937352	0.415395	3507.87	keep	EfficientNet-B2 + 224 + two-phase + tighter calibration target=0.995 / 60 batches 7th iteration
7a57f2c	0.895132	0.809243	0.847981	0.481538	3127.33	keep	EfficientNet-B2 + tightened cal + SAFETY_MARGIN=0.85 8th iteration
7a57f2c	0.896235	0.773665	0.891033	0.435559	3388.90	keep	EfficientNet-B2 + cal=200 batches + TARGET_RECALL=1.0 9th iteration
7a57f2c	0.896922	0.750160	0.916271	0.411357	3592.44	keep	Week4 controlled exp: pos_weight=10 replicate 1/2 [iter 10]
7a57f2c	0.902382	0.801159	0.887470	0.470783	3248.82	keep	Week4 controlled exp: pos_weight=20 replicate 1/2 [iter 11]
7a57f2c	0.897459	0.780951	0.899644	0.444869	3571.44	keep	Week4 controlled exp: pos_weight=10 replicate 2/2 [iter 12]
7a57f2c	0.895821	0.711710	0.955463	0.379079	3637.07	keep	Week4 controlled exp: pos_weight=20 replicate 2/2 [iter 13]
9d1cc2d	0.892757	0.762604	0.891627	0.422839	3501.40	keep	Week5 priority-1: holdout cal (USE_HOLDOUT_CAL=True) replicate 1/3 [iter 14]
9d1cc2d	0.895165	0.689534	0.964964	0.362319	3676.61	keep	Week5 priority-1: holdout cal (USE_HOLDOUT_CAL=True) replicate 2/3 [iter 15]
9d1cc2d	0.897593	0.773399	0.904394	0.436077	3553.50	keep	Week5 priority-1: holdout cal (USE_HOLDOUT_CAL=True) replicate 3/3 [iter 16]
9d1cc2d	0.898363	0.844182	0.774347	0.545835	3472.23	keep	Week5: TARGET_RECALL 0.995->0.95 (min->5th-percentile estimator), holdout cal, replicate 1/3 [iter 17]
9d1cc2d	0.893771	0.830462	0.770487	0.517964	3807.35	keep	Week5: TARGET_RECALL=0.95, holdout cal, replicate 2/3 [iter 18]
9d1cc2d	0.890865	0.835620	0.749109	0.529042	3681.03	keep	Week5: TARGET_RECALL=0.95, holdout cal, replicate 3/3 [iter 19]
